"","Drug","log2MIC","Gene","log2FC"
"6792","Etha",-2,"gene122",0.305091422
"6793","Etha",-1,"gene122",0.937178938
"6794","Etha",0,"gene122",0.161369281
"6795","Etha",1,"gene122",-1.3370919
"6796","Etha",2,"gene122",-2.166274767
"6797","Etha",3,"gene122",-1.620207999
"6798","Cipro",-3,"gene122",0.452007735
"6799","Cipro",-2,"gene122",0.919192781
"6800","Cipro",-1,"gene122",0.833301507
"6801","Cipro",0,"gene122",1.737014465
"6802","Cipro",1,"gene122",1.920316542
"6803","Cipro",2,"gene122",2.236115768
"6804","Cipro",3,"gene122",-2.087023062
"6805","Levo",-3,"gene122",-0.208966372
"6806","Levo",-2,"gene122",0.830804284
"6807","Levo",-1,"gene122",1.184570915
"6808","Levo",0,"gene122",0.556573349
"6809","Levo",1,"gene122",-3.357449562
"6810","Levo",2,"gene122",-2.240432787
"6811","Levo",3,"gene122",-4.335123288
"6812","PAS",-3,"gene122",0.414284259
"6813","PAS",-2,"gene122",0.374176431
"6814","PAS",-1,"gene122",-0.23324962
"6815","PAS",0,"gene122",-0.363000454
"6816","PAS",1,"gene122",0.279890446
"6817","PAS",2,"gene122",0.822395799
"6818","PAS",3,"gene122",-0.594785436
"6819","Line",-3,"gene122",-1.08855985
"6820","Line",-2,"gene122",-2.158527446
"6821","Line",-1,"gene122",-2.172765585
"6822","Line",0,"gene122",-2.096857301
"6823","Line",1,"gene122",-2.875201636
"6824","Line",2,"gene122",-2.757865675
"6825","Line",3,"gene122",-1.868556477
"6826","Rif",-3,"gene122",0.288255236
"6827","Rif",-2,"gene122",0.628324786
"6828","Rif",-1,"gene122",0.222373151
"6829","Rif",0,"gene122",-1.042129672
"6830","Rif",1,"gene122",-1.718780028
"6831","Rif",2,"gene122",-3.107749023
"6832","Rif",3,"gene122",-4.42464693
"6833","Ethi",-3,"gene123",-0.430843203
"6834","Ethi",-2,"gene123",-0.809955338
"6835","Ethi",-1,"gene123",0.348578131
"6836","Ethi",0,"gene123",0.021453915
"6837","Ethi",1,"gene123",0.016282187
"6838","Ethi",2,"gene123",-0.923634709
"6839","Ethi",3,"gene123",-0.974464908
"6840","KasA",-3,"gene123",-0.47540206
"6841","KasA",-2,"gene123",-0.010542506
