"","Drug","log2MIC","Gene","log2FC"
"5103","Ethi",3,"gene92",-1.153789583
"5104","KasA",-3,"gene92",-0.065298028
"5105","KasA",-2,"gene92",0.246450793
"5106","KasA",-1,"gene92",0.140737155
"5107","KasA",0,"gene92",-0.551794025
"5108","KasA",1,"gene92",-0.907813058
"5109","KasA",2,"gene92",-1.431222523
"5110","KasA",3,"gene92",-2.650112096
"5111","Etha",-3,"gene92",0.251932252
"5112","Etha",-2,"gene92",-0.324442232
"5113","Etha",-1,"gene92",-0.135997142
"5114","Etha",0,"gene92",-0.673891389
"5115","Etha",1,"gene92",-0.673557471
"5116","Etha",2,"gene92",-1.118075234
"5117","Etha",3,"gene92",-0.878416876
"5118","Cipro",-3,"gene92",0.20098857
"5119","Cipro",-2,"gene92",0.839088917
"5120","Cipro",-1,"gene92",0.735801661
"5121","Cipro",0,"gene92",0.862370007
"5122","Cipro",1,"gene92",0.591243876
"5123","Cipro",2,"gene92",-0.346973224
"5124","Cipro",3,"gene92",-1.886048933
"5125","Levo",-3,"gene92",-0.655367989
"5126","Levo",-2,"gene92",0.411477765
"5127","Levo",-1,"gene92",0.403191713
"5128","Levo",0,"gene92",-0.904581469
"5129","Levo",1,"gene92",-1.858142611
"5130","Levo",2,"gene92",-1.612437022
"5131","Levo",3,"gene92",-2.776680716
"5132","PAS",-3,"gene92",0.570839568
"5133","PAS",-2,"gene92",1.108814825
"5134","PAS",-1,"gene92",0.700568157
"5135","PAS",0,"gene92",0.636624621
"5136","PAS",1,"gene92",0.8224233
"5137","PAS",2,"gene92",0.884113975
"5138","PAS",3,"gene92",0.232198827
"5139","Line",-3,"gene92",-0.83215006
"5140","Line",-2,"gene92",-1.699751525
"5141","Line",-1,"gene92",-1.697765253
"5142","Line",0,"gene92",-1.635765227
"5143","Line",1,"gene92",-2.422432893
"5144","Line",2,"gene92",-1.795624184
"5145","Line",3,"gene92",-1.630624743
"5146","Rif",-3,"gene92",-0.839724349
"5147","Rif",-2,"gene92",-0.714302776
"5148","Rif",-1,"gene92",-1.27718978
"5149","Rif",0,"gene92",-1.919958408
"5150","Rif",1,"gene92",-2.150416037
"5151","Rif",2,"gene92",-2.183991564
"5152","Rif",3,"gene92",-2.97651975
"5153","Ethi",-3,"gene93",-0.168172182
"5154","Ethi",-2,"gene93",-0.428586342
"5155","Ethi",-1,"gene93",0.535286632
"5156","Ethi",0,"gene93",0.072109045
"5157","Ethi",1,"gene93",-0.4861954
"5158","Ethi",2,"gene93",-2.562192314
"5159","Ethi",3,"gene93",-2.123937322
"5160","KasA",-3,"gene93",0.002778231
"5161","KasA",-2,"gene93",0.333961475
"5162","KasA",-1,"gene93",0.233332583
"5163","KasA",0,"gene93",-0.486082476
"5164","KasA",1,"gene93",-0.83442949
"5165","KasA",2,"gene93",-1.641009811
"5166","KasA",3,"gene93",-4.177992283
"5167","Etha",-3,"gene93",0.232511886
"5168","Etha",-2,"gene93",-0.419990242
"5169","Etha",-1,"gene93",-0.465057329
"5170","Etha",0,"gene93",-1.149983273
"5171","Etha",1,"gene93",-1.539169743
"5172","Etha",2,"gene93",-2.227157959
"5173","Etha",3,"gene93",-1.971458286
"5174","Cipro",-3,"gene93",0.253789483
"5175","Cipro",-2,"gene93",0.932395765
"5176","Cipro",-1,"gene93",0.882586489
"5177","Cipro",0,"gene93",1.097471748
"5178","Cipro",1,"gene93",0.864849572
"5179","Cipro",2,"gene93",-0.367160781
"5180","Cipro",3,"gene93",-2.99611208
"5181","Levo",-3,"gene93",-0.747950545
"5182","Levo",-2,"gene93",0.324715294
"5183","Levo",-1,"gene93",0.462573625
"5184","Levo",0,"gene93",-1.051872852
"5185","Levo",1,"gene93",-3.322307435
"5186","Levo",2,"gene93",-3.061867862
"5187","Levo",3,"gene93",-4.900708779
"5188","PAS",-3,"gene93",0.580259334
"5189","PAS",-2,"gene93",1.089084642
"5190","PAS",-1,"gene93",0.802693816
"5191","PAS",0,"gene93",0.722172525
"5192","PAS",1,"gene93",0.837639479
"5193","PAS",2,"gene93",0.753756659
"5194","PAS",3,"gene93",-0.496429757
"5195","Line",-3,"gene93",-0.870010811
"5196","Line",-2,"gene93",-1.853597103
"5197","Line",-1,"gene93",-1.695503754
"5198","Line",0,"gene93",-1.818947303
"5199","Line",1,"gene93",-3.055291393
"5200","Line",2,"gene93",-2.577404476
"5201","Line",3,"gene93",-1.795437358
"5202","Rif",-3,"gene93",-0.866538762
"5203","Rif",-2,"gene93",-0.811372754
"5204","Rif",-1,"gene93",-1.377667188
"5205","Rif",0,"gene93",-2.614702995
"5206","Rif",1,"gene93",-2.809891198
"5207","Rif",2,"gene93",-3.322498939
"5208","Rif",3,"gene93",-4.607672793
"5209","Ethi",-3,"gene94",-0.396720768
"5210","Ethi",-2,"gene94",-0.939181984
"5211","Ethi",-1,"gene94",0.500091771
"5212","Ethi",0,"gene94",-0.15851119
"5213","Ethi",1,"gene94",-0.415294468
"5214","Ethi",2,"gene94",-2.077658055
"5215","Ethi",3,"gene94",-2.682698635
"5216","KasA",-3,"gene94",-0.173278835
"5217","KasA",-2,"gene94",0.162212965
"5218","KasA",-1,"gene94",-0.315110532
"5219","KasA",0,"gene94",-1.035530239
"5220","KasA",1,"gene94",-1.373190985
"5221","KasA",2,"gene94",-2.0573343
"5222","KasA",3,"gene94",-4.937673922
"5223","Etha",-3,"gene94",0.415876979
"5224","Etha",-2,"gene94",0.307981812
"5225","Etha",-1,"gene94",0.959622603
"5226","Etha",0,"gene94",0.76447931
"5227","Etha",1,"gene94",-1.7479865
"5228","Etha",2,"gene94",-3.080247871
"5229","Etha",3,"gene94",-2.281412935
"5230","Cipro",-3,"gene94",0.310719324
"5231","Cipro",-2,"gene94",0.89926996
"5232","Cipro",-1,"gene94",0.864577913
"5233","Cipro",0,"gene94",1.31414435
"5234","Cipro",1,"gene94",1.334235069
"5235","Cipro",2,"gene94",0.849400185
"5236","Cipro",3,"gene94",-3.057474778
"5237","Levo",-3,"gene94",-0.44265943
"5238","Levo",-2,"gene94",0.773071807
"5239","Levo",-1,"gene94",0.890241542
"5240","Levo",0,"gene94",-0.233334031
"5241","Levo",1,"gene94",-4.253286429
"5242","Levo",2,"gene94",-2.799946095
"5243","Levo",3,"gene94",-5.467472956
"5244","PAS",-3,"gene94",0.562021185
"5245","PAS",-2,"gene94",1.154175942
"5246","PAS",-1,"gene94",0.791490587
"5247","PAS",0,"gene94",0.856344458
"5248","PAS",1,"gene94",1.07476067
"5249","PAS",2,"gene94",0.811403739
"5250","PAS",3,"gene94",-0.690358977
"5251","Line",-3,"gene94",-0.916960397
"5252","Line",-2,"gene94",-2.088594281
"5253","Line",-1,"gene94",-2.135539823
"5254","Line",0,"gene94",-2.427910931
"5255","Line",1,"gene94",-3.919764027
"5256","Line",2,"gene94",-2.973502937
"5257","Line",3,"gene94",-1.839347452
"5258","Rif",-3,"gene94",-0.177358517
"5259","Rif",-2,"gene94",-0.035210342
"5260","Rif",-1,"gene94",-0.522162385
"5261","Rif",0,"gene94",-2.682548945
"5262","Rif",1,"gene94",-2.575724858
"5263","Rif",2,"gene94",-3.861628321
"5264","Rif",3,"gene94",-5.113008396
"5265","Ethi",-3,"gene95",-0.26394831
"5266","Ethi",-2,"gene95",-0.512034999
"5267","Ethi",-1,"gene95",0.360656384
"5268","Ethi",0,"gene95",0.081433071
"5269","Ethi",1,"gene95",-0.036931705
"5270","Ethi",2,"gene95",-0.29894548
"5271","Ethi",3,"gene95",-1.239955454
"5272","KasA",-3,"gene95",-0.424688067
"5273","KasA",-2,"gene95",-0.059667859
"5274","KasA",-1,"gene95",-0.506158768
"5275","KasA",0,"gene95",-1.136686096
"5276","KasA",1,"gene95",-1.023987469
"5277","KasA",2,"gene95",-1.372362674
"5278","KasA",3,"gene95",-3.234696466
"5279","Etha",-3,"gene95",0.56796657
"5280","Etha",-2,"gene95",0.788997612
"5281","Etha",-1,"gene95",2.141622946
"5282","Etha",0,"gene95",2.155640242
"5283","Etha",1,"gene95",-0.033947332
"5284","Etha",2,"gene95",-0.834829856
"5285","Etha",3,"gene95",-0.700892366
"5286","Cipro",-3,"gene95",0.22621536
"5287","Cipro",-2,"gene95",0.685505736
"5288","Cipro",-1,"gene95",0.715432651
"5289","Cipro",0,"gene95",1.377565465
"5290","Cipro",1,"gene95",1.777822646
"5291","Cipro",2,"gene95",3.426504828
"5292","Cipro",3,"gene95",-1.058594053
"5293","Levo",-3,"gene95",0.253738902
"5294","Levo",-2,"gene95",1.051443709
"5295","Levo",-1,"gene95",1.289148245
"5296","Levo",0,"gene95",1.452522751
"5297","Levo",1,"gene95",-1.337504087
"5298","Levo",2,"gene95",-1.149446175
"5299","Levo",3,"gene95",-3.927047237
"5300","PAS",-3,"gene95",0.535591221
"5301","PAS",-2,"gene95",0.857632724
"5302","PAS",-1,"gene95",0.453505467
"5303","PAS",0,"gene95",0.822540096
"5304","PAS",1,"gene95",1.463631483
"5305","PAS",2,"gene95",2.137306021
"5306","PAS",3,"gene95",1.128658847
"5307","Line",-3,"gene95",-1.024416913
"5308","Line",-2,"gene95",-2.000085404
"5309","Line",-1,"gene95",-1.554691338
"5310","Line",0,"gene95",-0.944707933
"5311","Line",1,"gene95",-1.880236722
"5312","Line",2,"gene95",-2.102448378
"5313","Line",3,"gene95",-1.777937024
"5314","Rif",-3,"gene95",0.284217941
"5315","Rif",-2,"gene95",0.772584499
"5316","Rif",-1,"gene95",0.295338084
"5317","Rif",0,"gene95",0.216747445
"5318","Rif",1,"gene95",-0.762322988
"5319","Rif",2,"gene95",-1.369858066
"5320","Rif",3,"gene95",-2.841772559
"5321","Ethi",-3,"gene96",-0.314366086
"5322","Ethi",-2,"gene96",-0.483313321
"5323","Ethi",-1,"gene96",0.401911823
"5324","Ethi",0,"gene96",0.056896114
"5325","Ethi",1,"gene96",-0.153586855
"5326","Ethi",2,"gene96",-0.773341331
"5327","Ethi",3,"gene96",-1.626141465
"5328","KasA",-3,"gene96",-0.302508132
"5329","KasA",-2,"gene96",0.029406301
"5330","KasA",-1,"gene96",-0.591109304
"5331","KasA",0,"gene96",-1.215394411
"5332","KasA",1,"gene96",-1.068295598
"5333","KasA",2,"gene96",-1.543988605
"5334","KasA",3,"gene96",-3.529160136
"5335","Etha",-3,"gene96",0.66762272
"5336","Etha",-2,"gene96",0.592943347
"5337","Etha",-1,"gene96",2.213350655
"5338","Etha",0,"gene96",2.830110556
"5339","Etha",1,"gene96",-0.031170372
"5340","Etha",2,"gene96",-1.263503281
"5341","Etha",3,"gene96",-1.08277678
"5342","Cipro",-3,"gene96",0.258420353
"5343","Cipro",-2,"gene96",0.836490796
"5344","Cipro",-1,"gene96",0.928886492
"5345","Cipro",0,"gene96",1.462023337
"5346","Cipro",1,"gene96",1.795168006
"5347","Cipro",2,"gene96",2.510799634
"5348","Cipro",3,"gene96",-2.033099897
"5349","Levo",-3,"gene96",0.082566785
"5350","Levo",-2,"gene96",1.068950116
"5351","Levo",-1,"gene96",1.319983203
"5352","Levo",0,"gene96",0.953571643
"5353","Levo",1,"gene96",-2.756304451
"5354","Levo",2,"gene96",-1.603995993
"5355","Levo",3,"gene96",-4.510886589
"5356","PAS",-3,"gene96",0.504203901
"5357","PAS",-2,"gene96",0.853869698
"5358","PAS",-1,"gene96",0.392973624
"5359","PAS",0,"gene96",0.651869487
"5360","PAS",1,"gene96",1.246149947
"5361","PAS",2,"gene96",1.796913814
"5362","PAS",3,"gene96",0.395038452
"5363","Line",-3,"gene96",-0.917781449
"5364","Line",-2,"gene96",-2.063261694
"5365","Line",-1,"gene96",-1.981467602
"5366","Line",0,"gene96",-1.425779834
"5367","Line",1,"gene96",-2.419281406
"5368","Line",2,"gene96",-2.534314029
"5369","Line",3,"gene96",-1.69534207
"5370","Rif",-3,"gene96",-0.066773686
"5371","Rif",-2,"gene96",0.090492396
"5372","Rif",-1,"gene96",-0.510672147
"5373","Rif",0,"gene96",-2.035709918
"5374","Rif",1,"gene96",-2.49330283
"5375","Rif",2,"gene96",-3.016216829
"5376","Rif",3,"gene96",-3.903855554
"5377","Ethi",-3,"gene97",-0.353051142
"5378","Ethi",-2,"gene97",-0.863656777
"5379","Ethi",-1,"gene97",0.582749386
"5380","Ethi",0,"gene97",-0.015735538
"5381","Ethi",1,"gene97",-0.080812046
"5382","Ethi",2,"gene97",-0.883102417
"5383","Ethi",3,"gene97",-1.036695995
"5384","KasA",-3,"gene97",-0.476153823
"5385","KasA",-2,"gene97",0.048200875
"5386","KasA",-1,"gene97",-0.465015559
"5387","KasA",0,"gene97",-1.207960374
"5388","KasA",1,"gene97",-1.171774972
"5389","KasA",2,"gene97",-1.836149161
"5390","KasA",3,"gene97",-2.842541263
"5391","Etha",-3,"gene97",0.431856238
"5392","Etha",-2,"gene97",0.505840098
"5393","Etha",-1,"gene97",1.929805206
"5394","Etha",0,"gene97",1.497955411
"5395","Etha",1,"gene97",-0.105493129
"5396","Etha",2,"gene97",-0.94529159
"5397","Etha",3,"gene97",-0.756876639
"5398","Cipro",-3,"gene97",0.475886569
"5399","Cipro",-2,"gene97",1.038734886
"5400","Cipro",-1,"gene97",0.926078635
"5401","Cipro",0,"gene97",1.677167481
"5402","Cipro",1,"gene97",1.827685933
"5403","Cipro",2,"gene97",1.614168773
"5404","Cipro",3,"gene97",-2.183535433
"5405","Levo",-3,"gene97",-0.485426827
"5406","Levo",-2,"gene97",0.793584729
"5407","Levo",-1,"gene97",1.005428666
"5408","Levo",0,"gene97",-0.410916006
"5409","Levo",1,"gene97",-2.987441221
"5410","Levo",2,"gene97",-2.62212053
"5411","Levo",3,"gene97",-3.972104911
"5412","PAS",-3,"gene97",0.521620217
"5413","PAS",-2,"gene97",0.99744746
"5414","PAS",-1,"gene97",0.756671597
"5415","PAS",0,"gene97",1.092240453
"5416","PAS",1,"gene97",1.593523005
"5417","PAS",2,"gene97",2.194787318
"5418","PAS",3,"gene97",1.69152548
"5419","Line",-3,"gene97",-1.056335237
"5420","Line",-2,"gene97",-2.164657989
"5421","Line",-1,"gene97",-2.002485263
"5422","Line",0,"gene97",-1.403769608
"5423","Line",1,"gene97",-2.056120086
"5424","Line",2,"gene97",-2.112832701
"5425","Line",3,"gene97",-1.811979385
"5426","Rif",-3,"gene97",-0.10367055
"5427","Rif",-2,"gene97",0.016236439
"5428","Rif",-1,"gene97",-0.465261457
"5429","Rif",0,"gene97",-1.356881205
"5430","Rif",1,"gene97",-2.107466799
"5431","Rif",2,"gene97",-2.297180156
"5432","Rif",3,"gene97",-3.25267423
"5433","Ethi",-3,"gene98",-0.267838243
"5434","Ethi",-2,"gene98",-0.463516382
"5435","Ethi",-1,"gene98",0.524840914
"5436","Ethi",0,"gene98",-0.092310318
"5437","Ethi",1,"gene98",-0.534460753
"5438","Ethi",2,"gene98",-3.020587238
"5439","Ethi",3,"gene98",-2.753154032
"5440","KasA",-3,"gene98",0.007676144
"5441","KasA",-2,"gene98",0.276340509
"5442","KasA",-1,"gene98",0.007369882
"5443","KasA",0,"gene98",-0.530373008
"5444","KasA",1,"gene98",-0.716535355
"5445","KasA",2,"gene98",-1.545292692
"5446","KasA",3,"gene98",-4.294468657
"5447","Etha",-3,"gene98",0.453895027
"5448","Etha",-2,"gene98",0.141354837
"5449","Etha",-1,"gene98",-0.00250646
"5450","Etha",0,"gene98",-1.277356916
"5451","Etha",1,"gene98",-1.786186628
"5452","Etha",2,"gene98",-2.651731992
"5453","Etha",3,"gene98",-2.13239776
"5454","Cipro",-3,"gene98",0.138881424
"5455","Cipro",-2,"gene98",0.755938099
"5456","Cipro",-1,"gene98",0.875676557
"5457","Cipro",0,"gene98",1.061114051
"5458","Cipro",1,"gene98",1.01443482
"5459","Cipro",2,"gene98",-0.111729632
"5460","Cipro",3,"gene98",-2.931535177
"5461","Levo",-3,"gene98",-0.597224044
"5462","Levo",-2,"gene98",0.460865227
"5463","Levo",-1,"gene98",0.422375653
"5464","Levo",0,"gene98",-1.263518943
"5465","Levo",1,"gene98",-3.84155105
"5466","Levo",2,"gene98",-3.279958288
"5467","Levo",3,"gene98",-5.336469326
"5468","PAS",-3,"gene98",0.509457504
"5469","PAS",-2,"gene98",1.267755735
"5470","PAS",-1,"gene98",1.317952545
"5471","PAS",0,"gene98",1.549659664
"5472","PAS",1,"gene98",1.899403303
"5473","PAS",2,"gene98",2.158976662
"5474","PAS",3,"gene98",0.726543563
"5475","Line",-3,"gene98",-0.825462403
"5476","Line",-2,"gene98",-1.892119227
"5477","Line",-1,"gene98",-1.944071307
"5478","Line",0,"gene98",-2.13898526
"5479","Line",1,"gene98",-3.354116112
"5480","Line",2,"gene98",-2.68525091
"5481","Line",3,"gene98",-1.796113425
"5482","Rif",-3,"gene98",-0.390527805
"5483","Rif",-2,"gene98",-0.256817683
"5484","Rif",-1,"gene98",-0.74409281
"5485","Rif",0,"gene98",-2.281978837
"5486","Rif",1,"gene98",-2.606580437
"5487","Rif",2,"gene98",-3.342354837
"5488","Rif",3,"gene98",-4.405306743
"5489","Ethi",-3,"gene99",-0.236139867
"5490","Ethi",-2,"gene99",-0.470397157
"5491","Ethi",-1,"gene99",0.522824083
"5492","Ethi",0,"gene99",-0.038801056
"5493","Ethi",1,"gene99",-0.45202229
"5494","Ethi",2,"gene99",-2.722507789
"5495","Ethi",3,"gene99",-2.709046596
"5496","KasA",-3,"gene99",-0.039810981
"5497","KasA",-2,"gene99",0.318533031
"5498","KasA",-1,"gene99",0.054666092
"5499","KasA",0,"gene99",-0.44533428
"5500","KasA",1,"gene99",-0.629092583
"5501","KasA",2,"gene99",-1.467380503
"5502","KasA",3,"gene99",-4.175068305
"5503","Etha",-3,"gene99",0.501350968
"5504","Etha",-2,"gene99",0.152161449
"5505","Etha",-1,"gene99",0.213466322
"5506","Etha",0,"gene99",-0.898764383
"5507","Etha",1,"gene99",-1.703169678
"5508","Etha",2,"gene99",-2.628367185
"5509","Etha",3,"gene99",-2.103008774
"5510","Cipro",-3,"gene99",0.248904902
"5511","Cipro",-2,"gene99",0.783489823
"5512","Cipro",-1,"gene99",0.885814191
"5513","Cipro",0,"gene99",1.13995843
"5514","Cipro",1,"gene99",1.122711365
"5515","Cipro",2,"gene99",-0.406357305
"5516","Cipro",3,"gene99",-3.129597318
"5517","Levo",-3,"gene99",-0.562597007
"5518","Levo",-2,"gene99",0.626498344
"5519","Levo",-1,"gene99",0.601775251
"5520","Levo",0,"gene99",-1.157558673
"5521","Levo",1,"gene99",-3.932521267
"5522","Levo",2,"gene99",-3.103914572
"5523","Levo",3,"gene99",-5.831835027
"5524","PAS",-3,"gene99",0.532776647
"5525","PAS",-2,"gene99",1.260475437
"5526","PAS",-1,"gene99",1.27629348
"5527","PAS",0,"gene99",1.65033549
"5528","PAS",1,"gene99",1.935052208
"5529","PAS",2,"gene99",2.321588155
"5530","PAS",3,"gene99",0.83114238
"5531","Line",-3,"gene99",-0.800028308
"5532","Line",-2,"gene99",-2.079739497
"5533","Line",-1,"gene99",-1.978428453
"5534","Line",0,"gene99",-2.100113106
"5535","Line",1,"gene99",-3.357001035
"5536","Line",2,"gene99",-2.91390725
"5537","Line",3,"gene99",-1.765351066
"5538","Rif",-3,"gene99",-0.293598621
"5539","Rif",-2,"gene99",-0.195849413
"5540","Rif",-1,"gene99",-0.682175617
"5541","Rif",0,"gene99",-2.39212274
"5542","Rif",1,"gene99",-2.612310593
"5543","Rif",2,"gene99",-3.478563929
"5544","Rif",3,"gene99",-4.688835674
"5545","Ethi",-3,"gene100",-0.447981326
"5546","Ethi",-2,"gene100",-0.889745972
"5547","Ethi",-1,"gene100",0.509909855
"5548","Ethi",0,"gene100",-0.08138119
"5549","Ethi",1,"gene100",-0.098447783
"5550","Ethi",2,"gene100",-0.696281981
"5551","Ethi",3,"gene100",-1.768530147
"5552","KasA",-3,"gene100",-0.343869261
"5553","KasA",-2,"gene100",0.148412005
"5554","KasA",-1,"gene100",-0.222626582
"5555","KasA",0,"gene100",-0.926510363
"5556","KasA",1,"gene100",-0.58226176
"5557","KasA",2,"gene100",-1.100816418
"5558","KasA",3,"gene100",-3.384526683
"5559","Etha",-3,"gene100",0.358718935
"5560","Etha",-2,"gene100",0.273732187
"5561","Etha",-1,"gene100",1.05096869
"5562","Etha",0,"gene100",0.444950451
"5563","Etha",1,"gene100",-1.312189598
"5564","Etha",2,"gene100",-1.955223505
"5565","Etha",3,"gene100",-1.634066287
"5566","Cipro",-3,"gene100",0.342519781
"5567","Cipro",-2,"gene100",0.896256003
"5568","Cipro",-1,"gene100",0.922663554
"5569","Cipro",0,"gene100",1.620931824
"5570","Cipro",1,"gene100",1.846795191
"5571","Cipro",2,"gene100",2.262770489
"5572","Cipro",3,"gene100",-2.167513053
"5573","Levo",-3,"gene100",-0.134989823
"5574","Levo",-2,"gene100",0.802264426
"5575","Levo",-1,"gene100",1.098636454
"5576","Levo",0,"gene100",0.606915359
"5577","Levo",1,"gene100",-3.669410789
"5578","Levo",2,"gene100",-2.173394068
"5579","Levo",3,"gene100",-5.266411083
"5580","PAS",-3,"gene100",0.466785858
"5581","PAS",-2,"gene100",0.509021599
"5582","PAS",-1,"gene100",-0.083472049
"5583","PAS",0,"gene100",-0.154391418
"5584","PAS",1,"gene100",0.371835041
"5585","PAS",2,"gene100",0.941815095
"5586","PAS",3,"gene100",-0.427810171
"5587","Line",-3,"gene100",-1.006688796
"5588","Line",-2,"gene100",-2.156514978
"5589","Line",-1,"gene100",-1.904437406
"5590","Line",0,"gene100",-1.865796843
"5591","Line",1,"gene100",-2.919283004
"5592","Line",2,"gene100",-2.606272257
"5593","Line",3,"gene100",-1.900240501
"5594","Rif",-3,"gene100",0.045771984
"5595","Rif",-2,"gene100",0.260512182
"5596","Rif",-1,"gene100",-0.19859504
"5597","Rif",0,"gene100",-1.915309725
"5598","Rif",1,"gene100",-2.104171722
"5599","Rif",2,"gene100",-3.2343767
"5600","Rif",3,"gene100",-4.299263247
"5601","Ethi",-3,"gene101",-0.144871616
"5602","Ethi",-2,"gene101",-0.525357505
"5603","Ethi",-1,"gene101",0.439142056
"5604","Ethi",0,"gene101",0.17103666
"5605","Ethi",1,"gene101",-0.14234445
"5606","Ethi",2,"gene101",-1.411895305
"5607","Ethi",3,"gene101",-0.599332092
"5608","KasA",-3,"gene101",-0.39146842
"5609","KasA",-2,"gene101",-0.027368391
"5610","KasA",-1,"gene101",-0.604890777
"5611","KasA",0,"gene101",-1.322125036
"5612","KasA",1,"gene101",-1.659678419
"5613","KasA",2,"gene101",-2.35281301
"5614","KasA",3,"gene101",-2.851545974
"5615","Etha",-3,"gene101",0.444012238
"5616","Etha",-2,"gene101",0.365525
"5617","Etha",-1,"gene101",1.303853827
"5618","Etha",0,"gene101",1.411344249
"5619","Etha",1,"gene101",0.407480317
"5620","Etha",2,"gene101",-0.466892077
"5621","Etha",3,"gene101",-0.432462344
"5622","Cipro",-3,"gene101",0.221627269
"5623","Cipro",-2,"gene101",0.739564081
"5624","Cipro",-1,"gene101",0.837686453
"5625","Cipro",0,"gene101",1.324984653
"5626","Cipro",1,"gene101",1.570526461
"5627","Cipro",2,"gene101",2.733471283
"5628","Cipro",3,"gene101",-0.238610932
"5629","Levo",-3,"gene101",-0.463410917
"5630","Levo",-2,"gene101",0.740209609
"5631","Levo",-1,"gene101",1.016260696
"5632","Levo",0,"gene101",0.451174518
"5633","Levo",1,"gene101",-0.810147871
"5634","Levo",2,"gene101",-1.382473721
"5635","Levo",3,"gene101",-2.795783049
"5636","PAS",-3,"gene101",0.446972284
"5637","PAS",-2,"gene101",0.908624426
"5638","PAS",-1,"gene101",0.590874328
"5639","PAS",0,"gene101",0.977934634
"5640","PAS",1,"gene101",1.265887776
"5641","PAS",2,"gene101",1.376484011
"5642","PAS",3,"gene101",1.224929029
"5643","Line",-3,"gene101",-0.920846899
"5644","Line",-2,"gene101",-1.779026532
"5645","Line",-1,"gene101",-1.640550716
"5646","Line",0,"gene101",-1.223579928
"5647","Line",1,"gene101",-1.79175652
"5648","Line",2,"gene101",-1.93487535
"5649","Line",3,"gene101",-1.591379456
"5650","Rif",-3,"gene101",-0.064011484
"5651","Rif",-2,"gene101",0.259737813
"5652","Rif",-1,"gene101",-0.281602919
"5653","Rif",0,"gene101",-0.722942595
"5654","Rif",1,"gene101",-1.281249793
"5655","Rif",2,"gene101",-1.271397203
"5656","Rif",3,"gene101",-2.370832686
"5657","Ethi",-3,"gene102",-0.30135418
"5658","Ethi",-2,"gene102",-0.502288482
"5659","Ethi",-1,"gene102",0.460440558
"5660","Ethi",0,"gene102",0.063013419
"5661","Ethi",1,"gene102",-0.078365098
"5662","Ethi",2,"gene102",-0.161782385
"5663","Ethi",3,"gene102",-1.266581302
"5664","KasA",-3,"gene102",-0.309622415
"5665","KasA",-2,"gene102",0.045184767
"5666","KasA",-1,"gene102",-0.416577644
"5667","KasA",0,"gene102",-1.011273993
"5668","KasA",1,"gene102",-0.743887258
"5669","KasA",2,"gene102",-1.200392442
"5670","KasA",3,"gene102",-3.327641885
"5671","Etha",-3,"gene102",0.545590823
"5672","Etha",-2,"gene102",0.790877126
"5673","Etha",-1,"gene102",2.267206736
"5674","Etha",0,"gene102",2.434741247
"5675","Etha",1,"gene102",0.191501171
"5676","Etha",2,"gene102",-0.884566762
"5677","Etha",3,"gene102",-0.6780033
"5678","Cipro",-3,"gene102",0.303972108
"5679","Cipro",-2,"gene102",0.794659223
"5680","Cipro",-1,"gene102",1.044972304
"5681","Cipro",0,"gene102",1.576981949
"5682","Cipro",1,"gene102",1.885696548
"5683","Cipro",2,"gene102",3.120819772
"5684","Cipro",3,"gene102",-1.616787025
"5685","Levo",-3,"gene102",0.056922131
"5686","Levo",-2,"gene102",0.963853615
"5687","Levo",-1,"gene102",1.178604295
"5688","Levo",0,"gene102",1.123650151
"5689","Levo",1,"gene102",-2.408569717
"5690","Levo",2,"gene102",-1.430431866
"5691","Levo",3,"gene102",-4.31454596
"5692","PAS",-3,"gene102",0.458964369
"5693","PAS",-2,"gene102",0.797586712
"5694","PAS",-1,"gene102",0.408851972
"5695","PAS",0,"gene102",0.72759581
"5696","PAS",1,"gene102",1.513707117
"5697","PAS",2,"gene102",2.229095719
"5698","PAS",3,"gene102",0.832070534
"5699","Line",-3,"gene102",-0.974885085
"5700","Line",-2,"gene102",-2.05519929
"5701","Line",-1,"gene102",-1.787193911
"5702","Line",0,"gene102",-1.166486471
"5703","Line",1,"gene102",-2.020522182
"5704","Line",2,"gene102",-2.418959555
"5705","Line",3,"gene102",-1.701211495
"5706","Rif",-3,"gene102",0.131864879
"5707","Rif",-2,"gene102",0.449162301
"5708","Rif",-1,"gene102",-0.124028097
"5709","Rif",0,"gene102",-0.919265256
"5710","Rif",1,"gene102",-1.597530205
"5711","Rif",2,"gene102",-2.230606627
"5712","Rif",3,"gene102",-3.464876204
"5713","Ethi",-3,"gene103",-0.406700052
"5714","Ethi",-2,"gene103",-0.640162529
"5715","Ethi",-1,"gene103",0.300805942
"5716","Ethi",0,"gene103",-0.04507768
"5717","Ethi",1,"gene103",-0.330044468
"5718","Ethi",2,"gene103",-1.34265869
"5719","Ethi",3,"gene103",-1.121385288
"5720","KasA",-3,"gene103",-0.299843413
"5721","KasA",-2,"gene103",0.100251119
"5722","KasA",-1,"gene103",-0.324402948
"5723","KasA",0,"gene103",-0.901323329
"5724","KasA",1,"gene103",-0.982168968
"5725","KasA",2,"gene103",-1.522943906
"5726","KasA",3,"gene103",-2.385891154
"5727","Etha",-3,"gene103",0.438527781
"5728","Etha",-2,"gene103",0.405201015
"5729","Etha",-1,"gene103",1.005618507
"5730","Etha",0,"gene103",0.454481918
"5731","Etha",1,"gene103",-0.190206782
"5732","Etha",2,"gene103",-0.761239462
